facility_id,state,condition_name,measure_name,risk_tier,penalty_flag,readmission_rate,penalty_cost,risk_score,improvement_rate,excess_readmission_ratio,hospital_rank_in_state,recommended_action,priority_level
130049,ID,CABG,READM-30-CABG-HRRP,LOW,f,88.99,0.00,41.0,-10.85,0.8915,5,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10001,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,102.18,2328.76,51.9,2.33,1.0233,19,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10001,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,98.56,0.00,48.9,-1.29,0.9871,38,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10001,AL,COPD,READM-30-COPD-HRRP,LOW,f,98.12,0.00,48.5,-1.77,0.9823,29,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10001,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,93.54,0.00,44.8,-6.31,0.937,28,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10001,AL,CABG,READM-30-CABG-HRRP,LOW,f,95.14,0.00,46.1,-4.69,0.9531,16,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10001,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,98.36,0.00,49.0,-1.25,0.9875,17,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10005,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,87.14,0.00,39.4,-12.73,0.8727,63,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10005,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,85.68,0.00,38.4,-13.98,0.8602,28,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10005,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,100.73,869.54,50.7,0.87,1.0087,29,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10005,AL,COPD,READM-30-COPD-HRRP,LOW,f,92.97,0.00,44.2,-6.92,0.9308,44,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10006,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,105.08,5197.24,54.3,5.20,1.052,7,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10006,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,100.09,269.86,50.2,0.27,1.0027,12,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10006,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,99.11,0.00,49.4,-0.75,0.9925,37,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10006,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,98.04,0.00,48.5,-1.81,0.9819,40,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10006,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,104.85,5267.20,54.4,5.27,1.0527,12,MONITOR: Review discharge planning checklist. Identify high-risk patients for follow-up calls.,2
10006,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,91.79,0.00,43.3,-8.05,0.9195,29,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
10007,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,102.20,2318.77,51.9,2.32,1.0232,11,MONITOR: Ensure inhaler technique education at discharge. Schedule follow-up within 2 weeks.,2
10007,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,106.05,6196.70,55.2,6.20,1.062,7,MONITOR: Verify daily weight monitoring education at discharge. Schedule follow-up within 14 days.,2
10007,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,103.30,3448.17,52.9,3.45,1.0345,16,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10008,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,100.02,169.91,50.1,0.17,1.0017,32,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10011,AL,Pneumonia,READM-30-PN-HRRP,MEDIUM,t,100.87,1019.46,50.9,1.02,1.0102,27,MONITOR: Verify appropriate antibiotic duration. Ensure follow-up chest X-ray scheduled.,2
10011,AL,COPD,READM-30-COPD-HRRP,LOW,f,99.77,0.00,49.9,-0.12,0.9988,18,MAINTAIN: Current protocols effective. Continue monitoring quarterly. Share best practices.,3
